"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2011年度","兵庫県 太子町","","329","261","179","63"
"2011年度","兵庫県 上郡町","","81","201","45","22"
"2011年度","兵庫県 佐用町","","120","319","67","23"
"2011年度","兵庫県 香美町","","132","272","63","27"
"2011年度","兵庫県 新温泉町","","106","229","58","14"
"2010年度","兵庫県 神戸市 東灘区","","1,930","1,517","1,144","408"
"2010年度","兵庫県 神戸市 灘区","","1,250","1,201","806","245"
"2010年度","兵庫県 神戸市 兵庫区","","856","1,449","750","273"
"2010年度","兵庫県 神戸市 長田区","","685","1,252","565","240"
"2010年度","兵庫県 神戸市 須磨区","","1,307","1,629","845","319"
"2010年度","兵庫県 神戸市 垂水区","","1,874","2,193","1,170","423"
"2010年度","兵庫県 神戸市 北区","","1,781","1,886","928","464"
"2010年度","兵庫県 神戸市 中央区","","960","1,174","978","302"
"2010年度","兵庫県 神戸市 西区","","2,022","1,747","1,209","452"
"2010年度","兵庫県 姫路市","","4,931","4,837","3,120","1,101"
"2010年度","兵庫県 尼崎市","","4,289","4,408","3,072","1,110"
"2010年度","兵庫県 明石市","","2,646","2,470","1,739","664"
"2010年度","兵庫県 西宮市","","4,653","3,546","2,669","868"
"2010年度","兵庫県 洲本市","","379","641","206","83"
"2010年度","兵庫県 芦屋市","","840","815","485","169"
"2010年度","兵庫県 伊丹市","","2,078","1,424","1,200","459"
"2010年度","兵庫県 相生市","","232","357","138","47"
"2010年度","兵庫県 豊岡市","","769","1,143","400","135"
"2010年度","兵庫県 加古川市","","2,423","2,123","1,499","516"
"2010年度","兵庫県 赤穂市","","380","561","217","76"
"2010年度","兵庫県 西脇市","","353","494","182","75"
"2010年度","兵庫県 宝塚市","","1,941","1,655","1,050","392"
"2010年度","兵庫県 三木市","","495","775","337","126"
"2010年度","兵庫県 高砂市","","842","855","510","166"
"2010年度","兵庫県 川西市","","1,198","1,269","637","273"
"2010年度","兵庫県 小野市","","422","457","225","80"
"2010年度","兵庫県 三田市","","800","715","436","159"
"2010年度","兵庫県 加西市","","294","549","201","67"
"2010年度","兵庫県 篠山市","","301","589","180","69"
"2010年度","兵庫県 養父市","","189","399","104","24"
"2010年度","兵庫県 丹波市","","533","877","327","105"
"2010年度","兵庫県 南あわじ市","","382","684","212","88"
"2010年度","兵庫県 朝来市","","248","430","167","55"
"2010年度","兵庫県 淡路市","","292","752","207","60"
"2010年度","兵庫県 宍粟市","","297","548","166","50"
"2010年度","兵庫県 加東市","","368","361","199","57"
"2010年度","兵庫県 たつの市","","633","856","375","106"
"2010年度","兵庫県 猪名川町","","234","222","85","51"
"2010年度","兵庫県 多可町","","138","311","83","29"
"2010年度","兵庫県 稲美町","","188","284","126","57"
"2010年度","兵庫県 播磨町","","291","269","191","73"
"2010年度","兵庫県 市川町","","64","180","48","19"
"2010年度","兵庫県 福崎町","","166","225","79","32"
